,Unnamed: 0,Incident Number,Incident Date,Reason for Report,Impact of Incident,Country,State,County,City,Product Registration Number(s),Product Names,PC Codes,Active Ingredient(s),Overall Submission Description (may describe multiple incidents),clean
661,661,027788-00015,05/23/2015,Adverse Reaction,HC - Human - Moderate,US,TX,,,000432-01212-071004,Sevin 2% Lawn Insect Granular,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
662,662,027788-00016,05/25/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,,000432-01209-071004,Sevin Ready To Use 5% Dust Bug Killer,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
663,663,027788-00017,05/23/2015,Adverse Reaction,HC - Human - Moderate,US,NC,,,,Sevin,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
664,664,027788-00018,05/23/2015,Adverse Reaction,HC - Human - Moderate,US,NC,,,,Sevin,056801,Carbaryl,"Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
665,665,027788-00019,05/26/2015,Adverse Reaction,HB - Human - Major,US,IN,,,000264-01066,Corvus Herbicide,"123000, 015804","Isoxaflutole, Thiencarbazone-methyl","Bayer CropScience: Includes 14 H-C, 2 H-B and 3 P-A. ","bayer cropscience: includes 14 h-c, 2 h-b 3 p-a."
666,666,027789-00001,06/26/2016,Adverse Reaction,ON - Other Nontarget,US,OR,,Portland,,Not Reported,,Not reported,"Email: Region 10 reports a number of bee kills in the Portland area, 06-30-15. ","email: region 10 reports number bee kills portland area, 06-30-15."
667,667,027789-00001,06/26/2016,Adverse Reaction,ON - Other Nontarget,US,OR,,Portland,,,,Active ingredient unknown,"Email: Region 10 reports a number of bee kills in the Portland area, 06-30-15. ","email: region 10 reports number bee kills portland area, 06-30-15."
681,681,027794-00001,05/01/2015,Adverse Reaction,ON - Other Nontarget,US,CO,,Berthoud,,Unknown,,Ingredient,"Newspaper: bee deaths in Colorado, state contacted, June 2015. ","newspaper: bee deaths colorado, state contacted, june 2015."
716,716,027797-00001,05/14/2015,Adverse Reaction,ON - Other Nontarget,US,PA,Dauphin,,,Unknown,,Unknown,"Email: EFED sent a new PA bee kill report, 07/07/2015.","email: efed sent new pa bee kill report, 07/07/2015."
717,717,027800-00001,04/17/2015,Adverse Reaction,ON - Other Nontarget,US,OR,Clackamas,Aurora,,Pesticide Not Reported,,Pesticide Not Reported,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
718,718,027800-00002,05/26/2015,Adverse Reaction,ON - Other Nontarget,US,OR,Linn,Albany ,,No Pesticide Reported,,No Pesticide Reported,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
719,719,027800-00003,06/24/2015,Adverse Reaction,ON - Other Nontarget,US,OR,Baker ,Baker City,,No Pesticides Reported,,No Pesticides Reported,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
720,720,027800-00004,06/05/2015,Adverse Reaction,"DE - Domestic Animal - Unspecified, ON - Other Nontarget",US,OR,Lincoln,Tidewater,,No Pesticide Reported,,No Pesticide Reported,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
721,721,027800-00005,04/30/2015,Adverse Reaction,F - Other,US,OR,,Terry,,No Pesticide Reported,,No Pesticide Reported,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
722,722,027800-00006,05/27/2015,Adverse Reaction,F - Other,US,OR,,Burns,,No Pesticide Reported,,No Pesticide Reported,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
723,723,027800-00008,04/27/2015,Adverse Reaction,ON - Other Nontarget,US,OR,Columbia,St. Helens,,No Pesticide Reported.,,No Pesticide Reported.,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
724,724,027800-00009,05/25/2015,Adverse Reaction,F - Other,US,OR,,Portland,,Pesticides Not Involved,,Pesticides Not Involved,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
725,725,027800-00010,04/30/2015,Adverse Reaction,F - Other,US,OR,,Eugene,,Pesticides Not Involved,,Pesticides Not Involved,Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
726,726,027800-00011,06/02/2015,Adverse Reaction,ON - Other Nontarget,US,OR,Wasco,Mosier,067760-00035,Fyfanon Ulv Ag,057701,Malathion (NO INERT USE),Oregon Department of Ag: 10 new ONT bee kill incident reports from spring 2015.3 ONT updates from 2014. ,oregon department ag: 10 new ont bee kill incident reports spring 2015.3 ont updates 2014.
839,839,027832-00001,07/12/2015,Adverse Reaction,"ON - Other Nontarget, WA - Wildlife - Major",US,WY,,Laramie,005481-00480,Dibrom Concentrate,034401,Naled,"Email: Laramie, WY beekeeper reported the loss of 2 hives, started on 07/12/2015, the endangered Wyoming toad live in the area treated. ","email: laramie, wy beekeeper reported loss 2 hives, started 07/12/2015, endangered wyoming toad live area treated."
841,841,027838-00001,07/10/2015,Adverse Reaction,ON - Other Nontarget,US,VA,Loundon,,,Unknown,,Unknown,"NPIC: numerous bumblebees seen dying on the ground in a courtyard garden at Inova Loudoun Hospital, 07-20/2015","npic: numerous bumblebees seen dying ground courtyard garden inova loudoun hospital, 07-20/2015"
867,867,027851-00001,05/14/2015,Adverse Reaction,ON - Other Nontarget,US,NC,Haywood,,,,129121,Fipronil,"Email.: 05/14/2015 bee kill in Haywood County, NC, imidacloprid, coumaphos, and fipronil detected in lab test. ","email.: 05/14/2015 bee kill haywood county, nc, imidacloprid, coumaphos, fipronil detected lab test."
868,868,027851-00001,05/14/2015,Adverse Reaction,ON - Other Nontarget,US,NC,Haywood,,,,129099,Imidacloprid,"Email.: 05/14/2015 bee kill in Haywood County, NC, imidacloprid, coumaphos, and fipronil detected in lab test. ","email.: 05/14/2015 bee kill haywood county, nc, imidacloprid, coumaphos, fipronil detected lab test."
869,869,027851-00001,05/14/2015,Adverse Reaction,ON - Other Nontarget,US,NC,Haywood,,,,036501,Coumaphos,"Email.: 05/14/2015 bee kill in Haywood County, NC, imidacloprid, coumaphos, and fipronil detected in lab test. ","email.: 05/14/2015 bee kill haywood county, nc, imidacloprid, coumaphos, fipronil detected lab test."
870,870,027851-00001,05/14/2015,Adverse Reaction,ON - Other Nontarget,US,NC,Haywood,,,Not Reported,"129099, 129121","Imidacloprid, Fipronil","Email.: 05/14/2015 bee kill in Haywood County, NC, imidacloprid, coumaphos, and fipronil detected in lab test. ","email.: 05/14/2015 bee kill haywood county, nc, imidacloprid, coumaphos, fipronil detected lab test."
871,871,027851-00002,06/23/2015,Adverse Reaction,ON - Other Nontarget,US,NC,,,,Not Reported,,Not reported,"Email.: 05/14/2015 bee kill in Haywood County, NC, imidacloprid, coumaphos, and fipronil detected in lab test. ","email.: 05/14/2015 bee kill haywood county, nc, imidacloprid, coumaphos, fipronil detected lab test."
872,872,027851-00003,07/05/2015,Adverse Reaction,ON - Other Nontarget,US,NC,,,,Not Reported,,Not reported,"Email.: 05/14/2015 bee kill in Haywood County, NC, imidacloprid, coumaphos, and fipronil detected in lab test. ","email.: 05/14/2015 bee kill haywood county, nc, imidacloprid, coumaphos, fipronil detected lab test."
908,908,027864-00001,07/22/2015,Adverse Reaction,ON - Other Nontarget,US,OR,,Mcminnvile,,Not Reporteed,,Not reported,"NPIC: 07/22/2015 alleged bee kill in McMinnville, OR, caller reported about 500 hundred dead bees, caller saw an adjacent nursery apply an unknown pesticide to control plants in a ditch. ","npic: 07/22/2015 alleged bee kill mcminnville, or, caller reported 500 hundred dead bees, caller saw adjacent nursery apply unknown pesticide control plants ditch."
915,915,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,000100-00912,Fulfill Insecticide,101103,Pymetrozine,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
916,916,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,083100-00007,Montana 2f Insecticide,129099,Imidacloprid,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
917,917,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,073806-00001,K-Phite 7lp Fungicide,076416,Mono- and di- potassium salts of phosphorous acid,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
918,918,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,073049-00039,Abg-6404 Biological Insecticide,006522,"Bacillus thuringiensis Subsp. Kurstaki, Strain ABTS-351","NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
919,919,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,071512-00003-000279,Ranman Fungicide,085651,Cyazofamid,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
920,920,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,070506-00234,Manzate 200 Df Fungicide,014504,Mancozeb,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
921,921,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,066222-00062,Thionex 50w Insecticide,079401,Endosulfan,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
922,922,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,000279-03126,Fury 1.5 Ew Insecticide,129064,Zeta-Cypermethrin,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
923,923,027868-00001,04/01/2015,Adverse Reaction,ON - Other Nontarget,US,FL,,,000264-00678,Previcur,119302,Propamocarb hydrochloride,"NPIC: FL bee kill, ONT, July 20,2015","npic: fl bee kill, ont, july 20,2015"
924,924,027870-00001,07/12/2015,Adverse Reaction,ON - Other Nontarget,US,WY,,Laramie,,Dibrom ,034401,Dibrom,"Email: EFED sent an update to alleged Wyoming bee kill incident, 7/29/2015","email: efed sent update alleged wyoming bee kill incident, 7/29/2015"
926,926,027872-00024,06/06/2015,Adverse Reaction,HC - Human - Moderate,US,OH,,Galion,072155-00022,Brush Killer Plus Ready-To-Use,116002,"Triclopyr, triethylamine salt","BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
927,927,027872-00025,06/18/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,Fort Pierce,072155-00073,3-In-1 Insect Disease & Mite Control Conc,"129099, 128997, 109302","Imidacloprid, Tebuconazole, Fluvalinate","BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
928,928,027872-00026,06/14/2015,Adverse Reaction,HC - Human - Moderate,US,ME,,Dresden,072155-00094,"Disease Control For Roses, Flower & Shrubs","129099, 044309, 128997","Imidacloprid, Clothianidin, Tebuconazole","BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
929,929,027872-00027,06/26/2015,Adverse Reaction,HC - Human - Moderate,US,NY,,Mechanicville,072155-00058,Carpenter Ant & Termite Killer Plus Concentrate,118831,beta-Cyfluthrin,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
930,930,027872-00028,06/29/2015,Adverse Reaction,HC - Human - Moderate,US,CA,,Reedley,072155-00029,Complete Insect Killer For Soil And Turf Concentrate,"129099, 118831","Imidacloprid, beta-Cyfluthrin","BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
931,931,027872-00029,05/31/2015,Adverse Reaction,HC - Human - Moderate,US,OR,,Eugene,000264-01152,Serenade Disease Control,006479,QST 713 strain of bacillus subtilis,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
932,932,027872-00030,06/11/2015,Adverse Reaction,HC - Human - Moderate,US,LA,,Gretna,000264-00598,Termidor(R) Sc Insecticide,129121,Fipronil,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
933,933,027872-00030,06/11/2015,Adverse Reaction,HC - Human - Moderate,US,LA,,Gretna,000432-01331-073748,I Maxxpro 2f (Masterline),129099,Imidacloprid,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
934,934,027872-00031,06/22/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,Fort Myers,000432-01455,Maxforce Fly Spot Bait,"129099, 103201","Imidacloprid, cis-9-Tricosene","BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
935,935,027872-00033,05/29/2015,Adverse Reaction,HC - Human - Moderate,US,PA,,,000264-00334-071004,Sevin Concentrate Bug Killer,056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
936,936,027872-00034,06/06/2015,Adverse Reaction,HC - Human - Moderate,US,GA,,,,Sevin (Non-Specific),056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
937,937,027872-00035,06/12/2015,Adverse Reaction,HC - Human - Moderate,US,TN,,,,Sevin (Non-Specific),056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
938,938,027872-00036,06/08/2015,Adverse Reaction,HC - Human - Moderate,US,NC,,Greensboro,000264-00334-071004,Sevin Concentrate Bug Killer,056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
939,939,027872-00037,06/13/2015,Adverse Reaction,HC - Human - Moderate,US,KY,,,000432-01209-071004,Sevin Ready To Use 5% Dust Bug Killer,056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
940,940,027872-00038,06/14/2015,Adverse Reaction,HC - Human - Moderate,US,WA,,,000432-01209-071004,Sevin Ready To Use 5% Dust Bug Killer,056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
941,941,027872-00039,06/25/2015,Adverse Reaction,HC - Human - Moderate,US,MI,,,000264-00334-071004,Sevin Concentrate Bug Killer,056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
942,942,027872-00040,06/08/2015,Adverse Reaction,HC - Human - Moderate,US,AL,,,000432-01209-071004,Sevin Ready To Use 5% Dust Bug Killer,056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
943,943,027872-00041,06/29/2015,Adverse Reaction,HC - Human - Moderate,US,CO,,,000264-00334-071004,Sevin Ready To Spray Bug Killer (Non-Specific),056801,Carbaryl,"BayerCrop Science: numerous P-A and H-C incident, ","bayercrop science: numerous p-a h-c incident,"
961,961,027877-00033,05/30/2015,Adverse Reaction,HC - Human - Moderate,US,FL,,,000100-01390,Tribune Herbicide,032201,Diquat dibromide,"Syngenta Crop Protection, LLC: Includes 14 H-C and 32 S-A. Symptoms include Oral Irritation, Rash, Hives, etc. ","syngenta crop protection, llc: includes 14 h-c 32 s-a. symptoms include oral irritation, rash, hives, etc."
962,962,027877-00034,05/29/2015,Adverse Reaction,HC - Human - Moderate,US,PA,,,000100-01442,Lumax Ez Herbicide,"108800, 122990, 080803","S-Metolachlor, Mesotrione, Atrazine","Syngenta Crop Protection, LLC: Includes 14 H-C and 32 S-A. Symptoms include Oral Irritation, Rash, Hives, etc. ","syngenta crop protection, llc: includes 14 h-c 32 s-a. symptoms include oral irritation, rash, hives, etc."
963,963,027877-00034,05/29/2015,Adverse Reaction,HC - Human - Moderate,US,PA,,,,Keflex,,,"Syngenta Crop Protection, LLC: Includes 14 H-C and 32 S-A. Symptoms include Oral Irritation, Rash, Hives, etc. ","syngenta crop protection, llc: includes 14 h-c 32 s-a. symptoms include oral irritation, rash, hives, etc."
964,964,027877-00035,06/02/2015,Adverse Reaction,HC - Human - Moderate,US,VA,,,000100-01501,Arilon,067710,Indoxacarb,"Syngenta Crop Protection, LLC: Includes 14 H-C and 32 S-A. Symptoms include Oral Irritation, Rash, Hives, etc. ","syngenta crop protection, llc: includes 14 h-c 32 s-a. symptoms include oral irritation, rash, hives, etc."
